id_a	source_a	name_a	id_b	source_b	name_b	distance_m	name_score
63d32b9b-4eed-4670-91ed-95c40fe70907	dotproperty	The Roof Garden Onnut	e9e1b71c-1038-400d-992b-1f5a74fc797f	fazwaz	The Roof Garden Onnut	9.3	1.000
c93f02a7-3f33-4efa-b615-57a043275559	dotproperty	The Roof Garden Onnut	e9e1b71c-1038-400d-992b-1f5a74fc797f	fazwaz	The Roof Garden Onnut	9.3	1.000
295fa5b9-968e-4558-8123-22ea447aa05b	dotproperty	Ideo Blucove Sathorn	61beb04d-ff8e-4544-a69e-bbc48e727ea9	fazwaz	Ideo Blucove Sathorn	9.3	1.000
279295b3-f36e-4029-accf-01d4ad2b8c66	fazwaz	HQ By Sansiri	d3747366-447a-47c1-9ff2-f1f20a52ae6b	dotproperty	HQ by Sansiri	9.5	1.000
7ee94cef-024d-40fd-9747-2a70f639cf2d	dotproperty	D Condo Kathu	9619936b-9db5-46d1-9149-6326805c328e	ddproperty	Dcondo Kathu	9.8	1.000
827e4241-2a67-46b4-8ce1-ac07a40747c5	fazwaz	Ideo Q Siam-Ratchathewi	ae803a2f-83dd-406f-91e9-c4a14fdfc9ca	dotproperty	Ideo Q Siam-Ratchathewi	9.8	1.000
0debc30c-014b-4b3d-83b3-c12152ff9a51	dotproperty	Circle Rein Sukhumvit 12	f89da04f-a558-4b9c-b6b7-ddbcf8d05d47	fazwaz	Circle rein Sukhumvit 12	9.9	1.000
da347e7e-21c5-4867-a578-f9ba2cc47438	dotproperty	Baan Suan Rachathani 2 	e0f5da36-2967-46b2-90df-66490fce3733	fazwaz	Baan Suan Rachathani 2	10.0	1.000
3473d0d9-2aee-441b-9952-c719885b5891	dotproperty	Baan Siriyenakat	91b7c80f-4fb3-4c60-b7ee-7dee0e8a27ed	fazwaz	Baan Siriyenakat	10.0	1.000
0e067446-52ef-46a6-af45-274b4900eaf3	dotproperty	Benjamas Ville 4	7a09b0b6-2e89-45c8-8121-2197fa2262f1	fazwaz	Benjamas Ville 4	10.0	1.000
172b7cc2-7d0b-4776-acbd-3132879bf24c	dotproperty	Nue Noble Ratchada-Lat Phrao	2fee17db-1ca1-4b86-90c1-f8034ad961de	fazwaz	Nue Noble Ratchada-Lat Phrao	10.0	1.000
233cad35-a0c4-478e-9722-f259df29e507	fazwaz	COBE Ratchada-Rama 9	b8a7eae5-dcd6-485c-8ae5-b0797f667c22	ddproperty	COBE Ratchada-Rama 9	10.1	1.000
05269d0e-1bc5-423d-a5ca-0866643f8559	dotproperty	O2 Hip	209294ef-08be-46e1-8739-03553c46a652	fazwaz	O2 Hip Condo	10.1	1.000
c75d5f31-79c3-4f6d-a9de-dec52cde13c3	fazwaz	Chin Life Ramintra Km. 4	d17600be-74de-4ce2-ae16-fac797cf69c1	dotproperty	Chin Life Ramintra Km. 4	10.2	1.000
3d9a7d2d-cdb0-4b91-b0aa-c4960d9d82a8	dotproperty	Baan Suan Thon Phutthabucha 47	46240704-da46-482b-bac0-6ed4105f986a	fazwaz	Baan Suan Thon Phutthabucha 47	10.3	1.000
6678bb17-0a38-4d11-b6b6-07d2c5df8a92	fazwaz	The Teak Sukhumvit 39	6c840729-2a2e-4b74-8cff-07a2de244f5e	dotproperty	The Teak Sukhumvit 39	10.4	1.000
6678bb17-0a38-4d11-b6b6-07d2c5df8a92	fazwaz	The Teak Sukhumvit 39	800a3463-d28b-47f5-8639-74e9eb8f331e	dotproperty	The Teak Sukhumvit 39	10.4	1.000
56a737f3-ad5d-4cf1-8a87-efe5186dd1a3	fazwaz	Sithakarn Condominium	b1f953eb-6c91-48b0-be9d-c74ec9dc1471	dotproperty	Sithakarn Condominium	10.4	1.000
11f0582b-91f8-4fb5-8580-64028bc45cd3	ddproperty	The Base Height Phuket	90026335-2223-4483-b6d7-6abe2af1a41a	dotproperty	The Base Height Phuket	10.7	1.000
1e51afab-61ab-4143-8c0f-f8e669071da9	fazwaz	Supalai Wellington	83736227-f905-45ed-a6dc-2730a312ffe1	dotproperty	Supalai Wellington	10.8	1.000
5654990f-acc6-4e86-902d-8ec4fd0d7562	dotproperty	The Base Rise	d234f338-8e0e-4955-a896-27547cb44184	ddproperty	The Base Rise	10.8	1.000
182359df-1aa2-4836-99b6-abdde2f578e3	fazwaz	Siamese Exclusive 42	20f5a0cd-61cf-4704-8ce3-5fcbd47e315f	dotproperty	Siamese Exclusive 42	10.9	1.000
b6027716-960e-4e24-9678-ac5f157ef0d4	dotproperty	NUE District R9	d3dd34c7-2680-4bde-975d-91e71fd4d2bb	fazwaz	Nue District R9	10.9	1.000
23d2f6c5-38cc-4d55-9571-d6090df22d6a	dotproperty	D Mura Ratchayothin	9cab2712-a216-411b-b967-d98783a72b97	fazwaz	D Mura Ratchayothin	11.7	1.000
08b381fc-313c-41a9-ad48-b090aafd5929	fazwaz	The Lofts Ekkamai	52e80711-0675-4f31-bcaf-f49af29163dd	dotproperty	The Lofts Ekkamai	11.7	1.000
08b381fc-313c-41a9-ad48-b090aafd5929	fazwaz	The Lofts Ekkamai	dab0a8fa-6f68-4054-896c-b201a0fd563f	dotproperty	The Lofts Ekkamai	11.7	1.000
05131785-5fcc-4844-9724-9af35f74d601	fazwaz	Kallista Mansion	aeaee5e5-1768-4757-927c-8969fdf6b0de	dotproperty	Kallista Mansion	11.9	1.000
21d055de-c851-41e5-8c9e-6cacaed32915	dotproperty	Noble Emmerse Phrom Phong	30ba4a46-88e1-4cd8-b8dd-6d3bd09eb2b1	fazwaz	Noble Emmerse Phrom Phong	11.9	1.000
34b8ee02-fe3e-4115-a7ee-29e08237e88f	fazwaz	Newton Tower	d120c8b6-a6f3-489f-af4a-b29c93319b36	dotproperty	Newton Tower	11.9	1.000
8947236b-aba6-465f-9b6e-88eb28bc01da	fazwaz	La Vie En Rose Place	b8d217a3-501c-4fbc-94c6-cee5c299d8b7	dotproperty	La Vie En Rose Place	11.9	1.000
70f25516-eb60-4b0f-9e2a-48916f83fb34	dotproperty	FLO by Sansiri	b9ab1191-79be-4ded-a721-dc8b6bf782a8	fazwaz	FLO by Sansiri	12.1	1.000
0b9454e0-af42-4f19-bf93-a585b7465613	dotproperty	Life Pinklao	1c12a5a0-6e22-4c2e-b0bc-ef29e25ca836	fazwaz	Life Pinklao	12.1	1.000
1f14da0a-8011-4d5d-a5a1-3b0950d0ef21	dotproperty	The Diplomat 39	a85154f8-c745-4264-a19a-33719ad36440	fazwaz	The Diplomat 39	12.2	1.000
5ed8ba02-6040-46f8-845d-39dd30f4265c	dotproperty	The Diplomat 39	a85154f8-c745-4264-a19a-33719ad36440	fazwaz	The Diplomat 39	12.2	1.000
ab68d084-de49-49b6-b994-b72369e23ccd	fazwaz	The Link Sukhumvit 64	ad1151d0-5681-429e-828b-5b1fbde7cfac	dotproperty	The Link Sukhumvit 64	12.5	1.000
